"quest_id","node_id","choice_id","target","op","value"
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_C","M","add","-2"
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_A","W","add","4"
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_A","M","add","2"
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_A","P","add","-2"
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_B","P","add","4"
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_B","M","add","-6"
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_B","W","add","-2"
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_B","Wounds","add","1"
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_C","O","add","10"
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_C","V","add","6"
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_C","M","add","3"
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_C","Food","add","-1"
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_A","P","add","4"
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_A","O","add","-10"
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_A","M","add","-2"
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_B","O","add","8"
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_B","V","add","4"
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_B","M","add","2"
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_C","P","add","2"
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_C","O","add","2"
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_C","M","add","1"
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_D","S","add","10"
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_D","O","add","-5"
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_D","V","add","-3"
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_A","P","add","6"
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_A","O","add","-8"
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_A","V","add","-4"
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_A","M","add","-2"
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_B","O","add","4"
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_B","V","add","2"
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_B","M","add","1"
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_C","S","add","3"
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_C","O","add","2"
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_C","P","add","2"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_A","P","add","10"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_A","V","add","-8"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_A","O","add","-4"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_A","W","add","-1"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_B","W","add","6"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_B","O","add","4"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_B","V","add","2"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_C","S","add","8"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_C","O","add","6"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_C","V","add","5"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_C","P","add","-4"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_D","P","add","4"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_D","S","add","4"
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_D","O","add","-3"
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_A","P","add","8"
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_A","M","add","2"
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_A","V","add","-4"
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_B","V","add","8"
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_B","O","add","3"
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_B","P","add","-2"
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_C","O","add","6"
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_C","M","add","5"
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_C","V","add","2"
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_D","S","add","10"
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_D","M","add","-3"
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_D","O","add","-4"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_A","P","add","6"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_A","O","add","-10"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_A","V","add","-8"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_B","O","add","10"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_B","V","add","6"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_B","M","add","4"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_B","W","add","-2"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_C","P","add","4"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_C","V","add","4"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_C","O","add","4"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_D","S","add","12"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_D","O","add","-8"
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_D","M","add","-2"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_A","P","add","12"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_A","V","add","-8"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_A","O","add","-2"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_B","V","add","12"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_B","O","add","8"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_B","P","add","-4"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_C","P","add","5"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_C","V","add","5"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_C","O","add","10"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_C","M","add","4"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_D","S","add","14"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_D","O","add","-8"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_D","V","add","-3"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_E","P","add","4"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_E","O","add","-4"
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_E","M","add","2"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_A","P","add","6"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_A","V","add","4"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_A","O","add","-2"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_B","O","add","8"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_B","P","add","2"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_B","V","add","2"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_C","S","add","6"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_C","O","add","4"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_C","P","add","-2"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_C","V","add","-2"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_D","S","add","12"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_D","O","add","-6"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_E","O","add","10"
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_E","V","add","4"
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_A","O","add","8"
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_A","M","add","2"
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_B","O","add","10"
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_B","V","add","4"
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_C","O","add","9"
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_C","P","add","2"
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_C","V","add","2"
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_C","M","add","3"
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_D","O","add","-15"
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_D","P","add","3"
