"quest_id","node_id","choice_id","text","condition","costs_json","set_flags_json","notes"
"Q8_KNIVES_UNDER_SNOW","Q8_C2","Q8_C2_D","Accuse Leif's broker","","[]","{""accusation"":""leif_broker""}",""
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_A","Execute","","[]","{""sentence"":""execute""}",""
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_B","Exile","","[]","{""sentence"":""exile""}",""
"Q8_KNIVES_UNDER_SNOW","Q8_C3","Q8_C3_C","Flip as double agent","","[]","{""sentence"":""double_agent""}",""
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_A","Night assault","","[]","{""battle_plan"":""night_assault""}",""
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_B","Hold choke points","","[]","{""battle_plan"":""hold_chokes""}",""
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_C","Three-fires cease line","","[]","{""battle_plan"":""cease_line""}",""
"Q9_SIEGE_OF_NESODDEN","Q9_C1","Q9_C1_D","Shadow sabotage","","[]","{""battle_plan"":""shadow_sabotage""}",""
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_A","Pirate clans","","[]","{""ally_call"":""pirate_clans""}",""
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_B","Jarl levies","","[]","{""ally_call"":""jarl_levies""}",""
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_C","Settler militias","","[]","{""ally_call"":""settler_militias""}",""
"Q9_SIEGE_OF_NESODDEN","Q9_C2","Q9_C2_D","Seer host","","[]","{""ally_call"":""seer_host""}",""
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_A","Burn gate with captives","","[]","{""gate_crisis"":""burn_gate""}",""
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_B","Civilian corridor","","[]","{""gate_crisis"":""civilian_corridor""}",""
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_C","Champion duel","","[]","{""gate_crisis"":""champion_duel""}","If Wounds >= 2, apply M -3 after node resolution."
"Q9_SIEGE_OF_NESODDEN","Q9_C3","Q9_C3_D","Ash storm","","[]","{""gate_crisis"":""ash_storm""}",""
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_A","Pirate Crown","","[]","{""claim"":""pirate_crown""}",""
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_B","High Jarl Compact","","[]","{""claim"":""high_jarl_compact""}",""
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_C","Fjord Charter Confederacy","","[]","{""claim"":""fjord_charter_confederacy""}",""
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_D","Ash Regency","","[]","{""claim"":""ash_regency""}",""
"Q10_THAW_RECKONING","Q10_C1","Q10_C1_E","Ghost Fleet Exit","","[]","{""claim"":""ghost_fleet_exit""}",""
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_A","Wear it publicly","","[]","{""ring_fate"":""wear_publicly""}",""
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_B","Break and divide metal","","[]","{""ring_fate"":""break_divide""}",""
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_C","Cast into fjord","","[]","{""ring_fate"":""cast_fjord""}",""
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_D","Give to Yrsa","","[]","{""ring_fate"":""give_yrsa""}",""
"Q10_THAW_RECKONING","Q10_C2","Q10_C2_E","Lock in neutral shrine","","[]","{""ring_fate"":""neutral_shrine""}",""
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_A","Blood oath","","[]","{""oath_form"":""blood_oath""}",""
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_B","Law-stone oath","","[]","{""oath_form"":""law_stone""}",""
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_C","Witness charter oath","","[]","{""oath_form"":""witness_charter""}",""
"Q10_THAW_RECKONING","Q10_C3","Q10_C3_D","Reject all oaths","","[]","{""oath_form"":""reject_all""}",""
